ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35004,0.000000000,1.000000000,0.000000000,1.000000000
00601,10260,1.000000000,1.000000000,1.000000000,1.000000000
00602,10380,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,1.000000000,1.000000000,1.000000000,1.000000000
00604,10380,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,1.000000000,1.000000000,1.000000000,1.000000000
00606,99999,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,1.000000000,1.000000000,1.000000000,1.000000000
00611,10380,1.000000000,1.000000000,1.000000000,1.000000000
00612,10380,0.000963138,0.000414766,0.004175365,0.000971553
00612,41980,0.002758077,0.000000000,0.000000000,0.002448313
00612,11640,0.996278785,0.999585234,0.995824635,0.996580134
00613,11640,1.000000000,1.000000000,1.000000000,1.000000000
00614,11640,1.000000000,1.000000000,1.000000000,1.000000000
00616,11640,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,1.000000000,1.000000000,1.000000000,1.000000000
00622,41900,1.000000000,1.000000000,1.000000000,1.000000000
00623,32420,0.000828184,0.000000000,0.000000000,0.000775610
00623,41900,0.999171816,1.000000000,1.000000000,0.999224390
00624,38660,1.000000000,1.000000000,1.000000000,1.000000000
00627,11640,1.000000000,1.000000000,1.000000000,1.000000000
00631,10380,0.000000000,0.000000000,1.000000000,1.000000000
00637,41900,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,1.000000000,1.000000000,1.000000000,1.000000000
00641,10380,1.000000000,1.000000000,1.000000000,1.000000000
00646,41980,1.000000000,1.000000000,1.000000000,1.000000000
00647,38660,1.000000000,1.000000000,1.000000000,1.000000000
00650,41980,1.000000000,1.000000000,1.000000000,1.000000000
00652,11640,1.000000000,1.000000000,1.000000000,1.000000000
00653,38660,1.000000000,1.000000000,1.000000000,1.000000000
00656,38660,1.000000000,1.000000000,1.000000000,1.000000000
00659,11640,1.000000000,1.000000000,1.000000000,1.000000000
00660,32420,1.000000000,1.000000000,1.000000000,1.000000000
00662,10380,1.000000000,1.000000000,1.000000000,1.000000000
00664,27580,1.000000000,1.000000000,1.000000000,1.000000000
00667,41900,1.000000000,1.000000000,1.000000000,1.000000000
00669,10380,1.000000000,1.000000000,1.000000000,1.000000000
00670,99999,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,1.000000000,1.000000000,1.000000000,1.000000000
00678,11640,1.000000000,1.000000000,1.000000000,1.000000000
00680,32420,0.999705579,1.000000000,1.000000000,0.999747984
00680,41900,0.000294421,0.000000000,0.000000000,0.000252016
00681,32420,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,1.000000000,1.000000000,1.000000000,1.000000000
00683,41900,0.989092754,1.000000000,1.000000000,0.990239843
00683,32420,0.010907246,0.000000000,0.000000000,0.009760157
00685,10380,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,1.000000000,1.000000000,1.000000000,1.000000000
00688,11640,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,1.000000000,1.000000000,1.000000000,1.000000000
00694,41980,1.000000000,1.000000000,1.000000000,1.000000000
00698,38660,1.000000000,1.000000000,1.000000000,1.000000000
00703,41980,1.000000000,1.000000000,1.000000000,1.000000000
00704,17640,1.000000000,1.000000000,1.000000000,1.000000000
00705,41980,0.998667377,1.000000000,1.000000000,0.998813479
00705,17620,0.001332623,0.000000000,0.000000000,0.001186521
00707,41980,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,1.000000000,1.000000000,1.000000000,1.000000000
00720,38660,0.007335779,0.000000000,0.000000000,0.006695070
00720,41980,0.992664221,1.000000000,1.000000000,0.993304930
00721,41980,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,1.000000000,1.000000000,1.000000000,1.000000000
00725,41980,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,1.000000000,1.000000000,1.000000000,1.000000000
00733,38660,1.000000000,1.000000000,1.000000000,1.000000000
00735,41980,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,1.000000000,1.000000000,1.000000000,1.000000000
00737,41980,1.000000000,1.000000000,1.000000000,1.000000000
00738,41980,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,1.000000000,1.000000000,1.000000000,1.000000000
00740,41980,1.000000000,1.000000000,1.000000000,1.000000000
00741,41980,1.000000000,1.000000000,1.000000000,1.000000000
00742,41980,0.000000000,0.000000000,1.000000000,1.000000000
00744,41980,1.000000000,1.000000000,1.000000000,1.000000000
00745,41980,1.000000000,1.000000000,1.000000000,1.000000000
00751,42180,0.001361218,0.000000000,0.000000000,0.001267573
00751,17640,0.998638782,1.000000000,1.000000000,0.998732427
00754,41980,1.000000000,1.000000000,1.000000000,1.000000000
00757,42180,0.997143567,0.969411765,1.000000000,0.995790951
00757,17640,0.002856433,0.030588235,0.000000000,0.004209049
00765,99999,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,1.000000000,1.000000000,1.000000000,1.000000000
00767,41980,1.000000000,1.000000000,1.000000000,1.000000000
00769,17620,1.000000000,1.000000000,1.000000000,1.000000000
00771,41980,1.000000000,1.000000000,1.000000000,1.000000000
00772,41980,1.000000000,1.000000000,1.000000000,1.000000000
00773,41980,1.000000000,1.000000000,1.000000000,1.000000000
00775,99999,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,1.000000000,1.000000000,1.000000000,1.000000000
00778,41980,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,1.000000000,1.000000000,1.000000000,1.000000000
00785,25020,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,1.000000000,1.000000000,1.000000000,1.000000000
00792,41980,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,1.000000000,1.000000000,1.000000000,1.000000000
00908,41980,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,1.000000000,1.000000000,1.000000000,1.000000000
00910,41980,1.000000000,1.000000000,1.000000000,1.000000000
00911,41980,1.000000000,1.000000000,1.000000000,1.000000000
00912,41980,1.000000000,1.000000000,1.000000000,1.000000000
00913,41980,1.000000000,1.000000000,1.000000000,1.000000000
00914,41980,1.000000000,1.000000000,1.000000000,1.000000000
